medal_type,medal_code,name,country,country_code,nationality,discipline,event,birth_date,code
Bronze Medal,3,KYRGYZBAYEV Gusman,Kazakhstan,KAZ,Kazakhstan,Judo,Men -66 kg,1992-09-28,1935410
Bronze Medal,3,VIERU Denis,Republic of Moldova,MDA,Republic of Moldova,Judo,Men -66 kg,1996-03-10,1561138
Gold Medal,1,KELDIYOROVA Diyora,Uzbekistan,UZB,Uzbekistan,Judo,Women -52 kg,1998-07-13,1566997
Silver Medal,2,KRASNIQI Distria,Kosovo,KOS,Kosovo,Judo,Women -52 kg,1995-12-10,1550162
Bronze Medal,3,PIMENTA Larissa,Brazil,BRA,Brazil,Judo,Women -52 kg,1999-03-01,1953817
Bronze Medal,3,BUCHARD Amandine,France,FRA,France,Judo,Women -52 kg,1995-07-12,1891283
Gold Medal,1,XIE Yu,China,CHN,China,Shooting,10m Air Pistol Men,2000-06-12,1913907
Silver Medal,2,MALDINI Federico Nilo,Italy,ITA,Italy,Shooting,10m Air Pistol Men,2001-03-28,1551388
Bronze Medal,3,MONNA Paolo,Italy,ITA,Italy,Shooting,10m Air Pistol Men,1998-04-19,1551387
Gold Medal,1,OH Ye Jin,Korea,KOR,Korea,Shooting,10m Air Pistol Women,2005-05-10,1893972
Silver Medal,2,KIM Yeji,Korea,KOR,Korea,Shooting,10m Air Pistol Women,1992-09-04,1893930
Bronze Medal,3,BHAKER Manu,India,IND,India,Shooting,10m Air Pistol Women,2002-02-18,1538159
Gold Medal,1,YOSHIZAWA Coco,Japan,JPN,Japan,Skateboarding,Women's Street,2009-09-22,1902055
Silver Medal,2,AKAMA Liz,Japan,JPN,Japan,Skateboarding,Women's Street,2009-01-08,1902069
Bronze Medal,3,LEAL Rayssa,Brazil,BRA,Brazil,Skateboarding,Women's Street,2008-01-04,1955689
Gold Medal,1,MARTINENGHI Nicolo,Italy,ITA,Italy,Swimming,Men's 100m Breaststroke,1999-08-01,1925633
Silver Medal,2,PEATY Adam,Great Britain,GBR,Great Britain,Swimming,Men's 100m Breaststroke,1994-12-28,1956469
Silver Medal,2,FINK Nic,United States,USA,United States,Swimming,Men's 100m Breaststroke,1993-07-03,1935901
Gold Medal,1,MARCHAND Leon,France,FRA,France,Swimming,Men's 400m Individual Medley,2002-05-17,1909294
Silver Medal,2,MATSUSHITA Tomoyuki,Japan,JPN,Japan,Swimming,Men's 400m Individual Medley,2005-08-01,1963635
Bronze Medal,3,FOSTER Carson,United States,USA,United States,Swimming,Men's 400m Individual Medley,2001-10-26,1935903
Gold Medal,1,HUSKE Torri,United States,USA,United States,Swimming,Women's 100m Butterfly,2002-12-07,1935923
Silver Medal,2,WALSH Gretchen,United States,USA,United States,Swimming,Women's 100m Butterfly,2003-01-29,1935998
Bronze Medal,3,ZHANG Yufei,China,CHN,China,Swimming,Women's 100m Butterfly,1998-04-19,1945125
Gold Medal,1,GESTIN Nicolas,France,FRA,France,Canoe Slalom,Men's Canoe Single,2000-03-14,1880479
Silver Medal,2,BURGESS Adam,Great Britain,GBR,Great Britain,Canoe Slalom,Men's Canoe Single,1992-07-17,1896030
Bronze Medal,3,BENUS Matej,Slovakia,SVK,Slovakia,Canoe Slalom,Men's Canoe Single,1987-11-02,1961080
Gold Medal,1,PIDCOCK Thomas,Great Britain,GBR,Great Britain,Cycling Mountain Bike,Men's Cross-country,1999-07-30,1912546
Silver Medal,2,KORETZKY Victor,France,FRA,France,Cycling Mountain Bike,Men's Cross-country,1994-08-26,1895687
Bronze Medal,3,HATHERLY Alan,South Africa,RSA,South Africa,Cycling Mountain Bike,Men's Cross-country,1996-03-15,1943604
Gold Medal,1,JUNG Michael,Germany,GER,Germany,Equestrian,Eventing Individual,1982-07-31,1914921
Silver Medal,2,BURTON Christopher,Australia,AUS,Australia,Equestrian,Eventing Individual,1981-11-22,1940438
Bronze Medal,3,COLLETT Laura,Great Britain,GBR,Great Britain,Equestrian,Eventing Individual,1989-08-31,1970898
Gold Medal,1,CHEUNG Ka Long,"Hong Kong, China",HKG,"Hong Kong, China",Fencing,Men's Foil Individual,1997-06-10,1963245
Silver Medal,2,MACCHI Filippo,Italy,ITA,Italy,Fencing,Men's Foil Individual,2001-09-19,1924289
Bronze Medal,3,ITKIN Nick,United States,USA,United States,Fencing,Men's Foil Individual,1999-10-09,1950602
Gold Medal,1,APITHY-BRUNET Manon,France,FRA,France,Fencing,Women's Sabre Individual,1996-02-07,1916223
Silver Medal,2,BALZER Sara,France,FRA,France,Fencing,Women's Sabre Individual,1995-04-03,1916222
Bronze Medal,3,KHARLAN Olga,Ukraine,UKR,Ukraine,Fencing,Women's Sabre Individual,1990-09-04,1897644
Gold Medal,1,HEYDAROV Hidayat,Azerbaijan,AZE,Azerbaijan,Judo,Men -73 kg,1997-07-27,1972337
Silver Medal,2,GABA Joan-Benjamin,France,FRA,France,Judo,Men -73 kg,2001-01-07,1891311
Bronze Medal,3,OSMANOV Adil,Republic of Moldova,MDA,Republic of Moldova,Judo,Men -73 kg,2000-07-02,1563437
Bronze Medal,3,HASHIMOTO Soichi,Japan,JPN,Japan,Judo,Men -73 kg,1991-08-24,1896740
Gold Medal,1,DEGUCHI Christa,Canada,CAN,Canada,Judo,Women -57 kg,1995-10-29,1955526
Silver Medal,2,HUH Mimi,Korea,KOR,Korea,Judo,Women -57 kg,2002-12-19,1928067
Bronze Medal,3,FUNAKUBO Haruka,Japan,JPN,Japan,Judo,Women -57 kg,1998-10-10,1896733
Bronze Medal,3,CYSIQUE Sarah Leonie,France,FRA,France,Judo,Women -57 kg,1998-07-06,1891286
Gold Medal,1,SHENG Lihao,China,CHN,China,Shooting,10m Air Rifle Men,2004-12-04,1913899
Silver Medal,2,LINDGREN Victor,Sweden,SWE,Sweden,Shooting,10m Air Rifle Men,2003-05-16,1572919
Bronze Medal,3,MARICIC Miran,Croatia,CRO,Croatia,Shooting,10m Air Rifle Men,1997-06-17,1888047
Gold Medal,1,BAN Hyojin,Korea,KOR,Korea,Shooting,10m Air Rifle Women,2007-09-20,1893845
Silver Medal,2,HUANG Yuting,China,CHN,China,Shooting,10m Air Rifle Women,2006-09-03,1913945
Bronze Medal,3,GOGNIAT Audrey,Switzerland,SUI,Switzerland,Shooting,10m Air Rifle Women,2002-10-30,1976545
Gold Medal,1,HORIGOME Yuto,Japan,JPN,Japan,Skateboarding,Men's Street,1999-01-07,1902081
Silver Medal,2,EATON Jagger,United States,USA,United States,Skateboarding,Men's Street,2001-02-21,1944226
Bronze Medal,3,HUSTON Nyjah,United States,USA,United States,Skateboarding,Men's Street,1994-11-30,1944232
Gold Medal,1,CECCON Thomas,Italy,ITA,Italy,Swimming,Men's 100m Backstroke,2001-01-27,1925635
Silver Medal,2,XU Jiayu,China,CHN,China,Swimming,Men's 100m Backstroke,1995-08-19,1945132
Bronze Medal,3,MURPHY Ryan,United States,USA,United States,Swimming,Men's 100m Backstroke,1995-07-02,1935957
Gold Medal,1,POPOVICI David,Romania,ROU,Romania,Swimming,Men's 200m Freestyle,2004-09-15,1543549
Silver Medal,2,RICHARDS Matthew,Great Britain,GBR,Great Britain,Swimming,Men's 200m Freestyle,2002-12-17,1903617
Bronze Medal,3,HOBSON Luke,United States,USA,United States,Swimming,Men's 200m Freestyle,2003-06-25,1935918
Gold Medal,1,SMITH Tatjana,South Africa,RSA,South Africa,Swimming,Women's 100m Breaststroke,1997-07-09,1962589
Silver Medal,2,TANG Qianting,China,CHN,China,Swimming,Women's 100m Breaststroke,2004-03-14,1945200
Bronze Medal,3,Mc SHARRY Mona,Ireland,IRL,Ireland,Swimming,Women's 100m Breaststroke,2000-08-21,1543304
Gold Medal,1,O'CALLAGHAN Mollie,Australia,AUS,Australia,Swimming,Women's 200m Freestyle,2004-04-02,1946218
Silver Medal,2,TITMUS Ariarne,Australia,AUS,Australia,Swimming,Women's 200m Freestyle,2000-09-07,1946150
Bronze Medal,3,HAUGHEY Siobhan Bernadette,"Hong Kong, China",HKG,"Hong Kong, China",Swimming,Women's 200m Freestyle,1997-10-31,1925125
Gold Medal,1,McINTOSH Summer,Canada,CAN,Canada,Swimming,Women's 400m Individual Medley,2006-08-18,1967140
Silver Medal,2,GRIMES Katie,United States,USA,United States,Swimming,Women's 400m Individual Medley,2006-01-08,1935909
Bronze Medal,3,WEYANT Emma,United States,USA,United States,Swimming,Women's 400m Individual Medley,2001-12-24,1936001
Gold Medal,1,NAGASE Takanori,Japan,JPN,Japan,Judo,Men -81 kg,1993-10-14,1896765
Silver Medal,2,GRIGALASHVILI Tato,Georgia,GEO,Georgia,Judo,Men -81 kg,1999-12-01,1546651
Bronze Medal,3,LEE Joonhwan,Korea,KOR,Korea,Judo,Men -81 kg,2002-06-19,1928079
Bronze Medal,3,MAKHMADBEKOV Somon,Tajikistan,TJK,Tajikistan,Judo,Men -81 kg,1999-03-24,1570561
Gold Medal,1,LESKI Andreja,Slovenia,SLO,Slovenia,Judo,Women -63 kg,1997-01-08,1980833
Silver Medal,2,AWITI ALCARAZ Prisca,Mexico,MEX,Mexico,Judo,Women -63 kg,1996-02-20,1537287
Bronze Medal,3,AGBEGNENOU Clarisse,France,FRA,France,Judo,Women -63 kg,1992-10-25,1891289
Bronze Medal,3,FAZLIU Laura,Kosovo,KOS,Kosovo,Judo,Women -63 kg,2000-09-28,1550167
Gold Medal,1,HALES Nathan,Great Britain,GBR,Great Britain,Shooting,Trap Men,1996-06-16,1904430
Silver Medal,2,QI Ying,China,CHN,China,Shooting,Trap Men,1997-01-23,1913928
Bronze Medal,3,BROL CARDENAS Jean Pierre,Guatemala,GUA,Guatemala,Shooting,Trap Men,1982-12-18,1958970
Gold Medal,1,WIFFEN Daniel,Ireland,IRL,Ireland,Swimming,Men's 800m Freestyle,2001-07-14,1539969
Silver Medal,2,FINKE Bobby,United States,USA,United States,Swimming,Men's 800m Freestyle,1999-11-06,1935902
Bronze Medal,3,PALTRINIERI Gregorio,Italy,ITA,Italy,Swimming,Men's 800m Freestyle,1994-09-05,1925630
Gold Medal,1,McKEOWN Kaylee,Australia,AUS,Australia,Swimming,Women's 100m Backstroke,2001-07-12,1946198
Silver Medal,2,SMITH Regan,United States,USA,United States,Swimming,Women's 100m Backstroke,2002-02-09,1935984
Bronze Medal,3,BERKOFF Katharine,United States,USA,United States,Swimming,Women's 100m Backstroke,2001-01-28,1935873
Gold Medal,1,OKA Shinnosuke,Japan,JPN,Japan,Artistic Gymnastics,Men's All-Around,2003-10-31,1919480
Silver Medal,2,ZHANG Boheng,China,CHN,China,Artistic Gymnastics,Men's All-Around,2000-03-04,1918864
Bronze Medal,3,XIAO Ruoteng,China,CHN,China,Artistic Gymnastics,Men's All-Around,1996-01-30,1918860
Gold Medal,1,FOX Jessica,Australia,AUS,Australia,Canoe Slalom,Women's Canoe Single,1994-06-11,1940205
Silver Medal,2,LILIK Elena,Germany,GER,Germany,Canoe Slalom,Women's Canoe Single,1998-09-14,1913770
Bronze Medal,3,LEIBFARTH Evy,United States,USA,United States,Canoe Slalom,Women's Canoe Single,2004-01-26,1955132
Gold Medal,1,TORRES GIL Jose,Argentina,ARG,Argentina,Cycling BMX Freestyle,Men's Park,1995-03-28,1916809
Silver Medal,2,REILLY Kieran Darren David,Great Britain,GBR,Great Britain,Cycling BMX Freestyle,Men's Park,2001-07-12,1912548
Bronze Medal,3,JEANJEAN Anthony,France,FRA,France,Cycling BMX Freestyle,Men's Park,1998-05-13,1895685
Gold Medal,1,DENG Yawen,China,CHN,China,Cycling BMX Freestyle,Women's Park,2005-10-17,1920569
Silver Medal,2,BENEGAS Perris,United States,USA,United States,Cycling BMX Freestyle,Women's Park,1995-07-22,1955071
Bronze Medal,3,DIEHM Natalya,Australia,AUS,Australia,Cycling BMX Freestyle,Women's Park,1997-09-23,1940118
Gold Medal,1,BEKAURI Lasha,Georgia,GEO,Georgia,Judo,Men -90 kg,2000-07-26,1548817
Silver Medal,2,MURAO Sanshiro,Japan,JPN,Japan,Judo,Men -90 kg,2000-08-28,1896750
Bronze Medal,3,NGAYAP HAMBOU Maxime-Gael,France,FRA,France,Judo,Men -90 kg,2001-06-22,1891318
Bronze Medal,3,TSELIDIS Theodoros,Greece,GRE,Greece,Judo,Men -90 kg,1996-08-05,1961318
Gold Medal,1,MATIC Barbara,Croatia,CRO,Croatia,Judo,Women -70 kg,1994-12-03,1898499
Silver Medal,2,BUTKEREIT Miriam,Germany,GER,Germany,Judo,Women -70 kg,1994-05-08,1563082
Bronze Medal,3,POLLERES Michaela,Austria,AUT,Austria,Judo,Women -70 kg,1997-07-15,1566421
Bronze Medal,3,WILLEMS Gabriella,Belgium,BEL,Belgium,Judo,Women -70 kg,1997-07-01,1903248
Gold Medal,1,RUANO OLIVA Adriana,Guatemala,GUA,Guatemala,Shooting,Trap Women,1995-06-26,1958899
Silver Medal,2,STANCO Silvana Maria,Italy,ITA,Italy,Shooting,Trap Women,1993-01-06,1915317
Bronze Medal,3,SMITH Penny,Australia,AUS,Australia,Shooting,Trap Women,1995-04-21,1967454
Gold Medal,1,PAN Zhanle,China,CHN,China,Swimming,Men's 100m Freestyle,2004-08-04,1945148
Silver Medal,2,CHALMERS Kyle,Australia,AUS,Australia,Swimming,Men's 100m Freestyle,1998-06-25,1946200
Bronze Medal,3,POPOVICI David,Romania,ROU,Romania,Swimming,Men's 100m Freestyle,2004-09-15,1543549
Gold Medal,1,MARCHAND Leon,France,FRA,France,Swimming,Men's 200m Breaststroke,2002-05-17,1909294
Silver Medal,2,STUBBLETY-COOK Zac,Australia,AUS,Australia,Swimming,Men's 200m Breaststroke,1999-01-04,1946185
Bronze Medal,3,CORBEAU Caspar,Netherlands,NED,Netherlands,Swimming,Men's 200m Breaststroke,2001-04-03,1972545
Gold Medal,1,MARCHAND Leon,France,FRA,France,Swimming,Men's 200m Butterfly,2002-05-17,1909294
Silver Medal,2,MILAK Kristof,Hungary,HUN,Hungary,Swimming,Men's 200m Butterfly,2000-02-20,1905860
Bronze Medal,3,KHARUN Ilya,Canada,CAN,Canada,Swimming,Men's 200m Butterfly,2005-02-07,1967058
Gold Medal,1,SJOESTROEM Sarah,Sweden,SWE,Sweden,Swimming,Women's 100m Freestyle,1993-08-17,1572557
Silver Medal,2,HUSKE Torri,United States,USA,United States,Swimming,Women's 100m Freestyle,2002-12-07,1935923
Bronze Medal,3,HAUGHEY Siobhan Bernadette,"Hong Kong, China",HKG,"Hong Kong, China",Swimming,Women's 100m Freestyle,1997-10-31,1925125
Gold Medal,1,LEDECKY Katie,United States,USA,United States,Swimming,Women's 1500m Freestyle,1997-03-17,1935938
Silver Medal,2,KIRPICHNIKOVA Anastasiia,France,FRA,France,Swimming,Women's 1500m Freestyle,2000-06-24,1909209
Bronze Medal,3,GOSE Isabel,Germany,GER,Germany,Swimming,Women's 1500m Freestyle,2002-05-09,1907171
Gold Medal,1,YEE Alex,Great Britain,GBR,Great Britain,Triathlon,Men's Individual,1998-02-18,1904251
Silver Medal,2,WILDE Hayden,New Zealand,NZL,New Zealand,Triathlon,Men's Individual,1997-09-01,1926549
Bronze Medal,3,BERGERE Leo,France,FRA,France,Triathlon,Men's Individual,1996-06-28,1543967
Gold Medal,1,BEAUGRAND Cassandre,France,FRA,France,Triathlon,Women's Individual,1997-05-23,1543963
Silver Medal,2,DERRON Julie,Switzerland,SUI,Switzerland,Triathlon,Women's Individual,1996-09-10,1976489
Bronze Medal,3,POTTER Beth,Great Britain,GBR,Great Britain,Triathlon,Women's Individual,1991-12-27,1904244
Gold Medal,1,BILES Simone,United States,USA,United States,Artistic Gymnastics,Women's All-Around,1997-03-14,1959861
Silver Medal,2,ANDRADE Rebeca,Brazil,BRA,Brazil,Artistic Gymnastics,Women's All-Around,1999-05-08,1953634
Bronze Medal,3,LEE Sunisa,United States,USA,United States,Artistic Gymnastics,Women's All-Around,2003-03-09,1959866
Gold Medal,1,PINTADO Brian Daniel,Ecuador,ECU,Ecuador,Athletics,Men's 20km Race Walk,1995-07-29,1929767
Silver Medal,2,BONFIM Caio,Brazil,BRA,Brazil,Athletics,Men's 20km Race Walk,1991-03-19,1951928
Bronze Medal,3,MARTIN Alvaro,Spain,ESP,Spain,Athletics,Men's 20km Race Walk,1994-06-18,1904165
Gold Medal,1,YANG Jiayu,China,CHN,China,Athletics,Women's 20km Race Walk,1996-02-18,1919002
Silver Medal,2,PEREZ Maria,Spain,ESP,Spain,Athletics,Women's 20km Race Walk,1996-04-29,1905369
Bronze Medal,3,MONTAG Jemima,Australia,AUS,Australia,Athletics,Women's 20km Race Walk,1998-02-15,1939791
Gold Medal,1,de GENNARO Giovanni,Italy,ITA,Italy,Canoe Slalom,Men's Kayak Single,1992-07-21,1550975
Silver Medal,2,CASTRYCK Titouan,France,FRA,France,Canoe Slalom,Men's Kayak Single,2004-08-28,1880464
Bronze Medal,3,ECHANIZ Pau,Spain,ESP,Spain,Canoe Slalom,Men's Kayak Single,2001-05-29,1953935
Gold Medal,1,KOTSOIEV Zelym,Azerbaijan,AZE,Azerbaijan,Judo,Men -100 kg,1998-08-09,1972367
Silver Medal,2,SULAMANIDZE Ilia,Georgia,GEO,Georgia,Judo,Men -100 kg,2001-06-18,1552370
Bronze Medal,3,PALTCHIK Peter,Israel,ISR,Israel,Judo,Men -100 kg,1992-01-04,1892957
Bronze Medal,3,TUROBOYEV Muzaffarbek,Uzbekistan,UZB,Uzbekistan,Judo,Men -100 kg,2000-04-05,1565754
Gold Medal,1,BELLANDI Alice,Italy,ITA,Italy,Judo,Women -78 kg,1998-11-20,1925349
Silver Medal,2,LANIR Inbar,Israel,ISR,Israel,Judo,Women -78 kg,2000-04-03,1892794
Bronze Medal,3,MA Zhenzhao,China,CHN,China,Judo,Women -78 kg,1998-04-24,1891067
Bronze Medal,3,SAMPAIO Patricia,Portugal,POR,Portugal,Judo,Women -78 kg,1999-06-30,1943504
Gold Medal,1,LIU Yukun,China,CHN,China,Shooting,50m Rifle 3 Positions Men,1997-04-12,1913922
Silver Medal,2,KULISH Serhiy,Ukraine,UKR,Ukraine,Shooting,50m Rifle 3 Positions Men,1993-04-17,1555976
Bronze Medal,3,KUSALE Swapnil,India,IND,India,Shooting,50m Rifle 3 Positions Men,1995-08-06,1538084
Gold Medal,1,KOS Hubert,Hungary,HUN,Hungary,Swimming,Men's 200m Backstroke,2003-03-28,1904977
Silver Medal,2,CHRISTOU Apostolos,Greece,GRE,Greece,Swimming,Men's 200m Backstroke,1996-11-01,1954557
Bronze Medal,3,MITYUKOV Roman,Switzerland,SUI,Switzerland,Swimming,Men's 200m Backstroke,2000-07-30,1977754
Gold Medal,1,DOUGLASS Kate,United States,USA,United States,Swimming,Women's 200m Breaststroke,2001-11-17,1935895
Silver Medal,2,SMITH Tatjana,South Africa,RSA,South Africa,Swimming,Women's 200m Breaststroke,1997-07-09,1962589
Bronze Medal,3,SCHOUTEN Tes,Netherlands,NED,Netherlands,Swimming,Women's 200m Breaststroke,2000-12-31,1972525
Gold Medal,1,McINTOSH Summer,Canada,CAN,Canada,Swimming,Women's 200m Butterfly,2006-08-18,1967140
Silver Medal,2,SMITH Regan,United States,USA,United States,Swimming,Women's 200m Butterfly,2002-02-09,1935984
Bronze Medal,3,ZHANG Yufei,China,CHN,China,Swimming,Women's 200m Butterfly,1998-04-19,1945125
Gold Medal,1,CHEPTEGEI Joshua,Uganda,UGA,Uganda,Athletics,"Men's 10,000m",1996-09-12,1970827
Silver Medal,2,AREGAWI Berihu,Ethiopia,ETH,Ethiopia,Athletics,"Men's 10,000m",2001-02-28,1536998
Bronze Medal,3,FISHER Grant,United States,USA,United States,Athletics,"Men's 10,000m",1997-04-22,1960959
Gold Medal,1,DAUDET Joris,France,FRA,France,Cycling BMX Racing,Men,1991-02-12,1895661
Silver Medal,2,ANDRE Sylvain,France,FRA,France,Cycling BMX Racing,Men,1992-10-14,1895640
Bronze Medal,3,MAHIEU Romain,France,FRA,France,Cycling BMX Racing,Men,1995-02-17,1895700
Gold Medal,1,SAKAKIBARA Saya,Australia,AUS,Australia,Cycling BMX Racing,Women,1999-08-23,1940127
Silver Medal,2,VEENSTRA Manon,Netherlands,NED,Netherlands,Cycling BMX Racing,Women,1998-07-06,1969181
Bronze Medal,3,CLAESSENS Zoe,Switzerland,SUI,Switzerland,Cycling BMX Racing,Women,2001-04-28,1976480
Gold Medal,1,RINER Teddy,France,FRA,France,Judo,Men +100 kg,1989-04-07,1891323
Silver Medal,2,KIM Minjong,Korea,KOR,Korea,Judo,Men +100 kg,2000-09-01,1928072
Bronze Medal,3,RAKHIMOV Temur,Tajikistan,TJK,Tajikistan,Judo,Men +100 kg,1997-07-08,1567512
Bronze Medal,3,YUSUPOV Alisher,Uzbekistan,UZB,Uzbekistan,Judo,Men +100 kg,1998-11-27,1566931
Gold Medal,1,SOUZA Beatriz,Brazil,BRA,Brazil,Judo,Women +78 kg,1998-05-20,1953777
Silver Medal,2,HERSHKO Raz,Israel,ISR,Israel,Judo,Women +78 kg,1998-06-19,1892796
Bronze Medal,3,KIM Hayun,Korea,KOR,Korea,Judo,Women +78 kg,2000-01-07,1928070
Bronze Medal,3,DICKO Romane,France,FRA,France,Judo,Women +78 kg,1999-09-30,1891300
Gold Medal,1,LEONE Chiara,Switzerland,SUI,Switzerland,Shooting,50m Rifle 3 Positions Women,1998-06-15,1977709
Silver Medal,2,MADDALENA Sagen,United States,USA,United States,Shooting,50m Rifle 3 Positions Women,1993-08-16,1944373
Bronze Medal,3,ZHANG Qiongyue,China,CHN,China,Shooting,50m Rifle 3 Positions Women,2004-03-12,1913972
Gold Medal,1,MARCHAND Leon,France,FRA,France,Swimming,Men's 200m Individual Medley,2002-05-17,1909294
Silver Medal,2,SCOTT Duncan,Great Britain,GBR,Great Britain,Swimming,Men's 200m Individual Medley,1997-05-06,1903621
Bronze Medal,3,WANG Shun,China,CHN,China,Swimming,Men's 200m Individual Medley,1994-02-11,1945186
Gold Medal,1,McEVOY Cameron,Australia,AUS,Australia,Swimming,Men's 50m Freestyle,1994-05-13,1946161
Silver Medal,2,PROUD Benjamin,Great Britain,GBR,Great Britain,Swimming,Men's 50m Freestyle,1994-09-21,1903616
Bronze Medal,3,MANAUDOU Florent,France,FRA,France,Swimming,Men's 50m Freestyle,1990-11-12,1909292
Gold Medal,1,McKEOWN Kaylee,Australia,AUS,Australia,Swimming,Women's 200m Backstroke,2001-07-12,1946198
Silver Medal,2,SMITH Regan,United States,USA,United States,Swimming,Women's 200m Backstroke,2002-02-09,1935984
Bronze Medal,3,MASSE Kylie,Canada,CAN,Canada,Swimming,Women's 200m Backstroke,1996-01-18,1967104
Bronze Medal,3,SWIATEK Iga,Poland,POL,Poland,Tennis,Women's Singles,2001-05-31,1931815
Gold Medal,1,LITVINOVICH Ivan,AIN,AIN,Belarus,Trampoline Gymnastics,Men,2001-06-26,1937347
Silver Medal,2,WANG Zisai,China,CHN,China,Trampoline Gymnastics,Men,2006-06-18,1918790
